exp,operador,num_centres,heli_per_centre,seed,h_ini,h_fin,temps_ms,nodes
1,SwapGroups+SwapOrder,5,1,314,4453,8068,2742,4584,245,83
1,SwapGroups+SwapOrder,5,1,947,4241,8928,2660,6503,269,82
1,SwapGroups+SwapOrder,5,1,183,4448,5468,2499,6382,249,90
1,SwapGroups+SwapOrder,5,1,420,4562,7692,2814,5163,222,82
1,SwapGroups+SwapOrder,5,1,559,4574,5097,2936,6176,232,64
1,SwapGroups+SwapOrder,5,1,601,4415,1339,2953,2165,257,65
1,SwapGroups+SwapOrder,5,1,732,4263,4453,2638,9176,204,64
1,SwapGroups+SwapOrder,5,1,11,4429,3554,2828,9640,202,77
1,SwapGroups+SwapOrder,5,1,298,4285,3361,2575,6165,219,84
1,SwapGroups+SwapOrder,5,1,467,4497,6818,3118,2771,204,76
1,SwapGroups+SwapOrder,5,1,825,4356,8210,2507,1156,260,85
1,SwapGroups+SwapOrder,5,1,940,4621,2701,2728,4878,297,76
1,SwapGroups+SwapOrder,5,1,156,4609,0923,2816,4362,269,71
1,SwapGroups+SwapOrder,5,1,377,4015,1461,2782,8069,332,83
1,SwapGroups+SwapOrder,5,1,688,4318,2201,2717,1985,267,68
1,SwapGroups+SwapOrder,5,1,249,4308,4315,2645,3865,269,89
1,SwapGroups+SwapOrder,5,1,563,4695,9089,2886,8534,171,64
1,SwapGroups+SwapOrder,5,1,704,4873,9744,3215,2355,208,76
1,SwapGroups+SwapOrder,5,1,92,4183,7259,2668,7282,191,71
1,SwapGroups+SwapOrder,5,1,815,4668,3689,2882,5960,206,77
1,SwapGroups+SwapOrder,5,1,333,4239,0503,2514,8993,200,77
1,SwapGroups+SwapOrder,5,1,478,4365,1928,2709,1850,265,85
1,SwapGroups+SwapOrder,5,1,690,4654,2277,2678,2935,199,75
1,SwapGroups+SwapOrder,5,1,27,4202,8014,2559,1955,291,88
1,SwapGroups+SwapOrder,5,1,954,4380,2060,2783,8150,368,92
1,SwapGroups+SwapOrder,5,1,382,4530,2186,2519,9986,339,91
1,SwapGroups+SwapOrder,5,1,611,3816,4730,2294,8620,271,77
1,SwapGroups+SwapOrder,5,1,743,4608,6571,2840,0926,279,72
1,SwapGroups+SwapOrder,5,1,159,4510,7585,2722,5718,257,75
1,SwapGroups+SwapOrder,5,1,888,4303,3084,2451,0693,203,75
1,SwapGroups+SwapOrder,5,1,266,4605,4489,3087,4686,220,83
1,SwapGroups+SwapOrder,5,1,531,4232,4029,2648,6678,324,85
1,SwapGroups+SwapOrder,5,1,679,4314,5267,2893,4370,278,69
1,SwapGroups+SwapOrder,5,1,803,4552,8377,2615,1620,193,68
1,SwapGroups+SwapOrder,5,1,47,4468,1925,3146,6108,251,76
1,SwapGroups+SwapOrder,5,1,995,4754,6752,2823,2873,265,79
1,SwapGroups+SwapOrder,5,1,214,4646,6617,2961,6027,276,69
1,SwapGroups+SwapOrder,5,1,362,4587,4827,2961,1103,333,90
1,SwapGroups+SwapOrder,5,1,580,4737,2152,3050,9264,344,88
1,SwapGroups+SwapOrder,5,1,721,4302,8541,2632,4021,290,71
1,SwapGroups+SwapOrder,5,1,134,4202,6944,2823,6886,322,81
1,SwapGroups+SwapOrder,5,1,846,4428,8285,2771,8025,272,62
1,SwapGroups+SwapOrder,5,1,271,4431,7711,2820,0154,401,101
1,SwapGroups+SwapOrder,5,1,498,4449,1180,2532,6189,258,78
